"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ICT1",6.47675852801506e-06,1.20421669534649,0.29,0.068,0.0888222664531985,"7","ICT1"
"JOSD2",6.91272982236375e-06,1.00629216109525,0.355,0.092,0.0948011767838965,"7","JOSD2"
"GNG52",7.46266165601156e-06,1.30598338675196,0.71,0.288,0.102342941950543,"7","GNG5"
"BAG11",7.5166471767438e-06,0.889866431735516,0.548,0.173,0.103083299381864,"7","BAG1"
"ATP5B2",7.53233040677899e-06,0.941592234801868,0.839,0.402,0.103298379198567,"7","ATP5B"
"PDCD7",7.85643523292845e-06,1.03260278150377,0.323,0.08,0.107743152784381,"7","PDCD7"
"IRF71",8.07091734168681e-06,2.0287020493511,0.484,0.161,0.110684560423893,"7","IRF7"
"ATP5C11",8.28916335607611e-06,1.54195525848136,0.774,0.305,0.113677586265228,"7","ATP5C1"
"HAUS4",8.39778904696819e-06,1.02179780056632,0.29,0.068,0.115167278990122,"7","HAUS4"
"ELMO1",8.67018480711328e-06,0.965893576542377,0.29,0.068,0.118902914444751,"7","ELMO1"
"RNF1812",8.7226072760693e-06,0.583893632494584,0.645,0.213,0.119621836184014,"7","RNF181"
"MCRS1",9.11503827145598e-06,1.11922426847515,0.323,0.081,0.125003634854747,"7","MCRS1"
"VPS72",9.62273031787854e-06,0.817095209440534,0.29,0.068,0.131966123579386,"7","VPS72"
"GTF3C6",9.69940546749201e-06,0.797081713862219,0.484,0.145,0.133017646581185,"7","GTF3C6"
"IGFBP71",9.7366338759643e-06,0.559529532573145,0.323,0.084,0.133528196974974,"7","IGFBP7"
"NDUFAB1",1.02401403491618e-05,1.05232350658261,0.581,0.199,0.140433284748404,"7","NDUFAB1"
"GNB22",1.02481755400362e-05,0.802371393055003,0.71,0.262,0.140543479356057,"7","GNB2"
"LMNA",1.03128299431357e-05,2.29656606722003,0.258,0.061,0.141430149840164,"7","LMNA"
"LAMTOR22",1.05296360354213e-05,0.851619786062824,0.613,0.219,0.144403428589768,"7","LAMTOR2"
"SAT21",1.06840472785457e-05,0.340605131709204,0.548,0.167,0.146521024377976,"7","SAT2"
"SAMD9L",1.08525320753092e-05,0.813085781171022,0.355,0.095,0.14883162488079,"7","SAMD9L"
"RNF5",1.09025105602308e-05,0.707874368709748,0.484,0.143,0.149517029823005,"7","RNF5"
"MTCH1",1.10026829270804e-05,1.05186398086922,0.452,0.139,0.15089079366198,"7","MTCH1"
"EAF21",1.10818980467602e-05,0.309698898945664,0.355,0.092,0.151977149813269,"7","EAF2"
"POLR2A",1.12619837659386e-05,1.20174539489524,0.29,0.07,0.154446845366082,"7","POLR2A"
"TM9SF2",1.19817484808075e-05,0.985735461451165,0.29,0.069,0.164317698665794,"7","TM9SF2"
"AOAH2",1.21174051462941e-05,0.95373157752853,0.419,0.123,0.166178094176278,"7","AOAH"
"ESD",1.21376257649514e-05,0.974339285396067,0.355,0.095,0.166455399740543,"7","ESD"
"ZSWIM7",1.267920520147e-05,0.680695930070318,0.355,0.092,0.17388262013296,"7","ZSWIM7"
"GDI22",1.28446016705972e-05,1.89823957594854,0.677,0.3,0.17615086731057,"7","GDI2"
"MRPL232",1.32113945646632e-05,0.629750688057461,0.774,0.284,0.181181065059791,"7","MRPL23"
"VAMP81",1.35280019880052e-05,0.712449202340717,0.968,0.503,0.185523019263503,"7","VAMP8"
"CPPED12",1.3621455381215e-05,1.21194149052587,0.355,0.1,0.186804639097982,"7","CPPED1"
